case_id,opened_date,closed_date,category,region,status,cycle_time_days,is_exception
OPS-101068,2024-09-30,2024-10-06,Renewal Processing,Midwest,Closed,6.0,False
OPS-101720,2024-10-01,2024-10-02,Billing Inquiry,West,Closed,1.44,False
OPS-101204,2024-10-01,2024-10-02,Data Correction,Southeast,Closed,1.75,False
OPS-101355,2024-10-01,2024-10-19,Dispute Resolution,Northeast,Closed,18.51,False
OPS-100226,2024-10-01,2024-10-02,Account Setup,West,Closed,1.38,False
OPS-102129,2024-10-01,2024-10-04,Renewal Processing,Northeast,Closed,3.69,False
OPS-101317,2024-10-01,2024-10-02,Billing Inquiry,Southwest,Closed,1.28,False
OPS-100589,2024-10-01,2024-10-05,Documentation Review,Southeast,Closed,4.01,False
OPS-101742,2024-10-01,2024-10-02,Billing Inquiry,Southwest,Closed,1.85,False
OPS-100649,2024-10-02,2024-10-08,Documentation Review,Northeast,Closed,6.82,False
OPS-100971,2024-10-02,2024-10-02,Service Request,West,Closed,0.8,False
OPS-100794,2024-10-02,2024-10-03,Service Request,Midwest,Closed,1.8,False
OPS-100767,2024-10-02,2024-10-07,Billing Inquiry,Midwest,Closed,5.29,False
OPS-101728,2024-10-02,2024-10-11,Account Setup,West,Closed,9.22,False
OPS-100068,2024-10-02,2024-10-11,Dispute Resolution,Southwest,Closed,8.98,False
OPS-100414,2024-10-02,2024-10-03,Billing Inquiry,West,Closed,1.77,False
OPS-102079,2024-10-02,2024-10-04,Service Request,Northeast,Closed,2.0,False
OPS-101659,2024-10-03,2024-10-05,Account Setup,Southeast,Closed,1.96,False
OPS-102017,2024-10-03,2024-10-12,Account Setup,Southeast,Closed,9.09,False
OPS-101160,2024-10-03,2024-10-06,Billing Inquiry,Northeast,Closed,3.64,False
OPS-101840,2024-10-03,2024-10-13,Eligibility Check,Midwest,Closed,10.92,False
OPS-102151,2024-10-03,2024-10-03,Account Setup,Northeast,Closed,0.5,False
OPS-102121,2024-10-03,2024-10-09,Eligibility Check,Southwest,Closed,6.45,False
OPS-101619,2024-10-04,2024-10-07,Data Correction,Northeast,Closed,3.74,False
OPS-100421,2024-10-04,2024-11-14,Renewal Processing,West,Closed,41.84,False
OPS-101314,2024-10-04,2024-10-15,Renewal Processing,Southwest,Closed,11.69,False
OPS-100722,2024-10-04,2024-10-10,Billing Inquiry,West,Closed,6.81,False
OPS-101432,2024-10-04,2024-10-06,Service Request,Northeast,Closed,2.88,False
OPS-100163,2024-10-04,2024-10-05,Data Correction,Southwest,Closed,1.34,False
OPS-100632,2024-10-04,2024-10-08,Eligibility Check,West,Closed,4.64,False
OPS-100484,2024-10-04,2024-10-06,Billing Inquiry,Northeast,Closed,2.8,False
OPS-101381,2024-10-04,2024-10-10,Dispute Resolution,Midwest,Closed,6.17,False
OPS-101018,2024-10-05,2024-10-09,Billing Inquiry,Midwest,Closed,4.16,False
OPS-100434,2024-10-05,2024-10-09,Eligibility Check,Midwest,Closed,4.28,False
OPS-102096,2024-10-05,2024-10-05,Eligibility Check,Southwest,Closed,0.81,False
OPS-101363,2024-10-05,2024-10-06,Billing Inquiry,Midwest,Closed,1.36,False
OPS-102117,2024-10-05,2024-10-07,Dispute Resolution,Northeast,Closed,2.39,False
OPS-101385,2024-10-05,2024-10-06,Data Correction,Southeast,Closed,1.55,False
OPS-100619,2024-10-06,2024-11-15,Renewal Processing,Southeast,Closed,40.0,False
OPS-100725,2024-10-06,2024-10-11,Service Request,West,Closed,5.85,True
OPS-100124,2024-10-06,2024-10-08,Billing Inquiry,Southeast,Closed,2.18,False
OPS-100027,2024-10-07,2024-10-08,Account Setup,Northeast,Closed,1.16,False
OPS-101260,2024-10-07,2024-10-08,Eligibility Check,Northeast,Closed,1.22,False
OPS-100175,2024-10-07,2024-10-09,Account Setup,Northeast,Closed,2.07,False
OPS-100280,2024-10-07,2024-10-09,Eligibility Check,West,Closed,2.88,False
OPS-101939,2024-10-07,2024-10-12,Dispute Resolution,Southeast,Closed,4.98,False
OPS-100554,2024-10-07,2024-10-07,Data Correction,Midwest,Closed,0.33,False
OPS-100902,2024-10-07,2024-10-10,Renewal Processing,Southeast,Closed,3.16,False
OPS-100450,2024-10-07,2024-10-10,Renewal Processing,Southwest,Closed,3.07,False
OPS-102045,2024-10-07,2024-10-07,Billing Inquiry,Southwest,Closed,0.52,False
OPS-102159,2024-10-07,2024-10-10,Dispute Resolution,West,Closed,3.15,True
OPS-101389,2024-10-07,2024-10-09,Billing Inquiry,West,Closed,2.14,False
OPS-100758,2024-10-08,2024-10-11,Billing Inquiry,Southwest,Closed,3.36,False
OPS-100286,2024-10-08,2024-10-28,Dispute Resolution,Southwest,Closed,20.06,False
OPS-101441,2024-10-08,2024-10-11,Account Setup,Southwest,Closed,3.86,False
OPS-101205,2024-10-08,2024-10-09,Data Correction,Southwest,Closed,1.45,True
OPS-102010,2024-10-08,2024-10-11,Service Request,Southeast,Closed,3.9,False
OPS-100642,2024-10-08,2024-10-17,Documentation Review,Northeast,Closed,8.99,False
OPS-100634,2024-10-08,2024-10-11,Service Request,Midwest,Closed,3.05,False
OPS-101925,2024-10-08,2024-10-15,Account Setup,Northeast,Closed,7.38,False
OPS-100762,2024-10-08,2024-10-12,Account Setup,Southwest,Closed,4.0,False
OPS-101138,2024-10-09,2024-10-10,Billing Inquiry,Southwest,Closed,1.78,False
OPS-101731,2024-10-09,2024-10-11,Service Request,Northeast,Closed,2.67,False
OPS-100820,2024-10-09,2024-10-12,Documentation Review,Northeast,Closed,3.7,False
OPS-100987,2024-10-09,2024-10-09,Data Correction,Southeast,Closed,0.48,False
OPS-100423,2024-10-09,2024-10-11,Renewal Processing,Southeast,Closed,2.54,False
OPS-101156,2024-10-09,2024-10-12,Service Request,Southwest,Closed,3.48,False
OPS-101668,2024-10-09,2024-10-10,Service Request,Southwest,Closed,1.83,False
OPS-101485,2024-10-09,2024-10-17,Account Setup,Southeast,Closed,8.12,False
OPS-102059,2024-10-09,2024-10-11,Billing Inquiry,Southwest,Closed,2.34,False
OPS-100291,2024-10-09,2024-10-17,Documentation Review,Southeast,Closed,8.02,False
OPS-100731,2024-10-09,2024-10-09,Billing Inquiry,Southeast,Closed,0.24,False
OPS-101308,2024-10-09,2024-10-10,Service Request,Midwest,Closed,1.52,False
OPS-100270,2024-10-10,2024-10-21,Eligibility Check,Northeast,Closed,11.01,False
OPS-101899,2024-10-10,2024-10-19,Renewal Processing,Southeast,Closed,8.99,False
OPS-101243,2024-10-10,2024-10-21,Documentation Review,West,Closed,11.36,False
OPS-100512,2024-10-10,2024-10-14,Billing Inquiry,Midwest,Closed,4.47,False
OPS-100272,2024-10-10,2024-10-15,Dispute Resolution,Northeast,Closed,5.59,False
OPS-101725,2024-10-10,2024-10-11,Service Request,Northeast,Closed,1.51,False
OPS-100448,2024-10-10,2024-10-10,Service Request,Midwest,Closed,0.53,False
OPS-102193,2024-10-11,2024-10-12,Service Request,West,Closed,0.96,False
OPS-101393,2024-10-11,2024-10-12,Account Setup,Southwest,Closed,1.05,False
OPS-101591,2024-10-11,2024-10-11,Billing Inquiry,West,Closed,0.64,True
OPS-101490,2024-10-11,2024-10-11,Account Setup,Southeast,Closed,0.5,False
OPS-100428,2024-10-11,2024-10-13,Billing Inquiry,West,Closed,2.77,False
OPS-100734,2024-10-11,2024-10-14,Service Request,Northeast,Closed,3.19,False
OPS-100567,2024-10-11,2024-10-13,Service Request,Southwest,Closed,2.16,False
OPS-101229,2024-10-11,2024-10-15,Data Correction,Northeast,Closed,4.13,False
OPS-100074,2024-10-11,2024-10-11,Data Correction,Southeast,Closed,0.28,False
OPS-101000,2024-10-12,2024-10-27,Dispute Resolution,Southwest,Closed,15.44,False
OPS-101401,2024-10-13,2024-10-15,Account Setup,Midwest,Closed,2.34,False
OPS-101443,2024-10-13,2024-10-14,Billing Inquiry,Southeast,Closed,1.25,False
OPS-100017,2024-10-13,2024-10-14,Renewal Processing,West,Closed,1.78,False
OPS-101155,2024-10-14,2024-10-17,Documentation Review,Southeast,Closed,3.82,False
OPS-100258,2024-10-14,2024-10-15,Billing Inquiry,West,Closed,1.63,False
OPS-102196,2024-10-14,2024-10-16,Billing Inquiry,Southeast,Closed,2.69,False
OPS-100727,2024-10-14,2024-10-16,Service Request,Midwest,Closed,2.37,False
OPS-101219,2024-10-14,2024-10-14,Data Correction,Midwest,Closed,0.69,False
OPS-101898,2024-10-14,2024-10-15,Service Request,Southwest,Closed,0.99,False
OPS-100680,2024-10-14,2024-10-18,Billing Inquiry,Midwest,Closed,4.77,False
OPS-101481,2024-10-14,2024-10-15,Billing Inquiry,Southwest,Closed,1.61,False
OPS-101993,2024-10-15,2024-10-16,Data Correction,Southeast,Closed,1.42,True
OPS-101534,2024-10-15,2024-10-19,Billing Inquiry,Southeast,Closed,4.07,False
OPS-101765,2024-10-15,2024-10-15,Account Setup,West,Closed,0.41,False
OPS-101115,2024-10-15,2024-10-17,Account Setup,Southeast,Closed,2.35,False
OPS-100510,2024-10-16,2024-10-18,Renewal Processing,Southwest,Closed,2.92,False
OPS-101825,2024-10-16,2024-10-22,Renewal Processing,Southeast,Closed,6.37,False
OPS-101767,2024-10-16,2024-10-16,Account Setup,Southeast,Closed,0.4,False
OPS-101806,2024-10-16,2024-10-28,Eligibility Check,Midwest,Closed,12.21,False
OPS-100916,2024-10-16,2024-10-18,Account Setup,Southwest,Closed,2.03,False
OPS-101965,2024-10-16,2024-10-16,Billing Inquiry,Southwest,Closed,0.26,False
OPS-101907,2024-10-16,2024-10-16,Dispute Resolution,Southwest,Closed,0.58,False
OPS-101957,2024-10-17,2024-11-23,Account Setup,Southeast,Closed,37.13,False
OPS-101789,2024-10-17,2024-10-18,Renewal Processing,Southwest,Closed,1.04,False
OPS-100793,2024-10-17,2024-10-22,Eligibility Check,Northeast,Closed,5.66,False
OPS-101427,2024-10-17,2024-10-25,Service Request,West,Closed,8.9,False
OPS-100547,2024-10-18,2024-10-18,Billing Inquiry,Southeast,Closed,0.74,False
OPS-101566,2024-10-18,2024-10-26,Eligibility Check,Southeast,Closed,8.69,False
OPS-101375,2024-10-18,2024-10-20,Documentation Review,Midwest,Closed,2.09,False
OPS-100139,2024-10-18,2024-10-18,Account Setup,Southeast,Closed,0.87,True
OPS-100122,2024-10-19,2024-10-23,Documentation Review,Southwest,Closed,4.38,True
OPS-100560,2024-10-19,2024-10-23,Service Request,Southwest,Closed,4.62,False
OPS-100663,2024-10-20,2024-10-21,Account Setup,West,Closed,1.65,False
OPS-100627,2024-10-20,2024-10-23,Billing Inquiry,West,Closed,3.85,False
OPS-100338,2024-10-20,2024-10-23,Account Setup,West,Closed,3.11,False
OPS-100097,2024-10-21,2024-10-23,Account Setup,Midwest,Closed,2.06,False
OPS-101623,2024-10-21,2024-10-23,Account Setup,Southeast,Closed,2.18,False
OPS-101426,2024-10-21,2024-10-21,Data Correction,Southeast,Closed,0.83,True
OPS-101809,2024-10-21,2024-10-23,Service Request,Northeast,Closed,2.7,False
OPS-100363,2024-10-21,2024-10-25,Eligibility Check,Southwest,Closed,4.47,False
OPS-101182,2024-10-21,2024-10-21,Renewal Processing,Southeast,Closed,0.6,True
OPS-101990,2024-10-21,2024-10-25,Account Setup,Southwest,Closed,4.02,False
OPS-102128,2024-10-21,2024-10-22,Data Correction,Southeast,Closed,1.28,False
OPS-101763,2024-10-22,2024-10-24,Billing Inquiry,Southeast,Closed,2.03,False
OPS-100412,2024-10-22,2024-10-23,Eligibility Check,West,Closed,0.99,False
OPS-101169,2024-10-22,2024-10-25,Eligibility Check,Southeast,Closed,3.47,False
OPS-101455,2024-10-22,2024-10-23,Account Setup,Southeast,Closed,1.73,False
OPS-102063,2024-10-22,2024-10-22,Data Correction,Midwest,Closed,0.83,False
OPS-101040,2024-10-22,2024-10-24,Data Correction,West,Closed,2.33,False
OPS-100454,2024-10-22,2024-10-24,Eligibility Check,West,Closed,2.53,False
OPS-100085,2024-10-22,2024-10-26,Account Setup,West,Closed,4.4,False
OPS-102149,2024-10-22,2024-10-26,Data Correction,Southwest,Closed,4.07,False
OPS-101152,2024-10-23,2024-10-31,Account Setup,Northeast,Closed,8.54,False
OPS-101132,2024-10-23,2024-10-27,Account Setup,Northeast,Closed,4.59,False
OPS-100336,2024-10-23,2024-11-09,Dispute Resolution,Southwest,Closed,17.36,True
OPS-101706,2024-10-23,2024-10-24,Data Correction,Northeast,Closed,1.38,False
OPS-100349,2024-10-23,2024-10-23,Billing Inquiry,West,Closed,0.52,True
OPS-100920,2024-10-23,2024-10-24,Billing Inquiry,West,Closed,1.94,False
OPS-100187,2024-10-23,2024-10-25,Account Setup,Northeast,Closed,2.24,False
OPS-101296,2024-10-23,2024-10-26,Service Request,West,Closed,3.49,False
OPS-100844,2024-10-23,2024-11-03,Dispute Resolution,Midwest,Closed,11.5,False
OPS-101835,2024-10-23,2024-10-23,Documentation Review,West,Closed,0.61,False
OPS-100004,2024-10-23,2024-10-23,Billing Inquiry,Midwest,Closed,0.71,False
OPS-101370,2024-10-23,2024-10-27,Dispute Resolution,Northeast,Closed,4.93,False
OPS-100108,2024-10-23,2024-10-25,Service Request,Southeast,Closed,2.63,False
OPS-101407,2024-10-23,2024-10-27,Billing Inquiry,Southwest,Closed,4.25,False
OPS-102146,2024-10-23,2024-11-02,Dispute Resolution,Southwest,Closed,10.57,False
OPS-100939,2024-10-24,2024-10-28,Documentation Review,Southwest,Closed,4.23,False
OPS-102156,2024-10-24,2024-10-27,Renewal Processing,Midwest,Closed,3.43,False
OPS-100893,2024-10-24,2024-10-24,Renewal Processing,Northeast,Closed,0.72,False
OPS-101641,2024-10-24,2024-10-30,Service Request,Northeast,Closed,6.5,False
OPS-101340,2024-10-24,2024-10-24,Data Correction,Southeast,Closed,0.49,False
OPS-101250,2024-10-24,2024-10-26,Service Request,Southeast,Closed,2.48,False
OPS-102034,2024-10-24,2024-10-24,Account Setup,Northeast,Closed,0.92,False
OPS-100293,2024-10-24,2024-10-29,Renewal Processing,West,Closed,5.06,False
OPS-100868,2024-10-24,2024-11-02,Dispute Resolution,Northeast,Closed,9.25,False
OPS-101235,2024-10-24,2024-10-24,Service Request,Midwest,Closed,0.87,False
OPS-101935,2024-10-25,2024-10-26,Account Setup,Southwest,Closed,1.88,False
OPS-100128,2024-10-25,2024-10-30,Service Request,Southwest,Closed,5.27,False
OPS-100864,2024-10-25,2024-10-26,Documentation Review,Northeast,Closed,1.64,False
OPS-100717,2024-10-25,2024-10-26,Data Correction,Northeast,Closed,1.44,False
OPS-100724,2024-10-25,2024-10-28,Account Setup,Midwest,Closed,3.76,False
OPS-101277,2024-10-25,2024-11-07,Renewal Processing,West,Closed,13.17,False
OPS-100289,2024-10-25,2024-10-28,Service Request,Southeast,Closed,3.11,False
OPS-100408,2024-10-26,2024-10-28,Service Request,Southeast,Closed,2.12,False
OPS-100582,2024-10-26,2024-10-29,Service Request,Southwest,Closed,3.31,False
OPS-100257,2024-10-26,2024-10-28,Account Setup,Southeast,Closed,2.45,False
OPS-100229,2024-10-26,2024-11-02,Dispute Resolution,Northeast,Closed,7.4,False
OPS-101251,2024-10-27,2024-10-31,Eligibility Check,Southwest,Closed,4.13,False
OPS-101472,2024-10-27,2024-10-28,Billing Inquiry,Midwest,Closed,0.96,False
OPS-100160,2024-10-27,2024-10-28,Data Correction,Midwest,Closed,1.29,False
OPS-101574,2024-10-28,2024-11-01,Dispute Resolution,Southwest,Closed,4.22,False
OPS-100732,2024-10-28,2024-10-30,Service Request,Midwest,Closed,2.1,False
OPS-100907,2024-10-28,2024-10-31,Service Request,Northeast,Closed,3.15,False
OPS-100239,2024-10-28,2024-11-04,Dispute Resolution,Southeast,Closed,7.42,False
OPS-100154,2024-10-28,2024-11-01,Documentation Review,West,Closed,4.35,True
OPS-100403,2024-10-28,2024-11-02,Dispute Resolution,West,Closed,5.79,False
OPS-100768,2024-10-28,2024-12-04,Service Request,Southeast,Closed,37.73,False
OPS-102118,2024-10-28,2024-11-01,Data Correction,Northeast,Closed,4.28,False
OPS-102021,2024-10-28,2024-10-31,Account Setup,Southeast,Closed,3.91,False
OPS-100635,2024-10-28,2024-10-31,Service Request,Midwest,Closed,3.08,True
OPS-101516,2024-10-28,2024-11-04,Dispute Resolution,Southeast,Closed,7.66,False
OPS-100268,2024-10-29,2024-11-02,Service Request,Midwest,Closed,4.03,False
OPS-100741,2024-10-29,2024-10-29,Billing Inquiry,Southwest,Closed,0.7,False
OPS-100059,2024-10-29,2024-11-04,Documentation Review,Northeast,Closed,6.64,False
OPS-101252,2024-10-29,2024-10-29,Account Setup,Southwest,Closed,0.93,False
OPS-102190,2024-10-29,2024-11-04,Billing Inquiry,Southeast,Closed,6.81,False
OPS-100607,2024-10-29,2024-11-05,Dispute Resolution,Southeast,Closed,7.57,False
OPS-101121,2024-10-29,2024-11-02,Documentation Review,Northeast,Closed,3.96,True
OPS-101349,2024-10-30,2024-11-01,Data Correction,West,Closed,2.39,False
OPS-102004,2024-10-30,2024-11-15,Dispute Resolution,Southwest,Closed,16.11,False
OPS-101106,2024-10-30,2024-11-01,Account Setup,West,Closed,2.45,False
OPS-101392,2024-10-30,2024-10-31,Data Correction,Northeast,Closed,1.28,False
OPS-100472,2024-10-30,2024-11-03,Documentation Review,West,Closed,4.3,False
OPS-100098,2024-10-30,2024-10-31,Account Setup,Southwest,Closed,1.06,False
OPS-101181,2024-10-30,2024-10-30,Data Correction,Northeast,Closed,0.79,False
OPS-100362,2024-10-30,2024-11-07,Dispute Resolution,Southwest,Closed,8.88,False
OPS-100388,2024-10-30,2024-11-02,Eligibility Check,Midwest,Closed,3.94,False
OPS-101684,2024-10-30,2024-11-03,Renewal Processing,Northeast,Closed,4.07,False
OPS-100972,2024-10-30,,Service Request,West,Open,,False
OPS-100509,2024-10-30,2024-10-31,Service Request,Midwest,Closed,1.82,False
OPS-100192,2024-10-31,2024-11-11,Documentation Review,West,Closed,11.13,False
OPS-101254,2024-10-31,2024-10-31,Renewal Processing,Midwest,Closed,0.91,False
OPS-101764,2024-10-31,2024-11-12,Documentation Review,West,Closed,12.63,False
OPS-100208,2024-10-31,2024-10-31,Billing Inquiry,Northeast,Closed,0.73,False
OPS-100524,2024-10-31,2024-10-31,Billing Inquiry,Midwest,Closed,0.62,False
OPS-100937,2024-10-31,2024-11-03,Account Setup,Midwest,Closed,3.77,False
OPS-100361,2024-10-31,2024-11-04,Service Request,Southwest,Closed,4.51,False
OPS-100391,2024-10-31,2024-11-01,Data Correction,West,Closed,1.76,False
OPS-101531,2024-11-01,2024-11-03,Renewal Processing,Southwest,Closed,2.5,True
OPS-101886,2024-11-01,2024-11-03,Eligibility Check,Southwest,Closed,2.0,False
OPS-100436,2024-11-01,2024-11-06,Eligibility Check,Midwest,Closed,5.31,False
OPS-100963,2024-11-01,2024-11-06,Service Request,Midwest,Closed,5.17,False
OPS-101414,2024-11-01,2024-11-01,Service Request,West,Closed,0.84,False
OPS-102098,2024-11-01,2024-11-03,Eligibility Check,Southwest,Closed,2.73,True
OPS-101039,2024-11-01,2024-11-06,Billing Inquiry,Midwest,Closed,5.03,True
OPS-100217,2024-11-01,2024-11-10,Eligibility Check,Southwest,Closed,9.93,False
OPS-100618,2024-11-01,2024-11-07,Documentation Review,Northeast,Closed,6.84,False
OPS-100814,2024-11-01,2024-11-01,Billing Inquiry,Southwest,Closed,0.79,False
OPS-100804,2024-11-01,2024-11-02,Account Setup,Midwest,Closed,1.66,False
OPS-101002,2024-11-02,2024-11-06,Renewal Processing,Southwest,Closed,4.69,False
OPS-100008,2024-11-02,2024-11-02,Account Setup,Southwest,Closed,0.84,False
OPS-101673,2024-11-02,2024-11-03,Account Setup,Northeast,Closed,1.11,False
OPS-101274,2024-11-02,2024-11-05,Eligibility Check,Southwest,Closed,3.15,False
OPS-100036,2024-11-03,2024-11-09,Account Setup,Southeast,Closed,6.05,False
OPS-102058,2024-11-03,2024-11-03,Renewal Processing,Northeast,Closed,0.79,False
OPS-100216,2024-11-03,,Billing Inquiry,Southeast,Open,,False
OPS-100887,2024-11-03,2024-11-06,Eligibility Check,Midwest,Closed,3.3,False
OPS-102101,2024-11-03,2024-11-04,Service Request,Northeast,Closed,1.76,False
OPS-101550,2024-11-03,2024-11-11,Account Setup,West,Closed,8.44,False
OPS-101051,2024-11-03,2024-11-05,Eligibility Check,Southeast,Closed,2.68,False
OPS-101768,2024-11-04,2024-11-16,Documentation Review,West,Closed,12.73,False
OPS-100473,2024-11-04,2024-11-15,Eligibility Check,Southeast,Closed,11.13,False
OPS-101802,2024-11-04,2024-11-06,Data Correction,Northeast,Closed,2.65,False
OPS-100334,2024-11-04,2024-11-09,Renewal Processing,Southeast,Closed,5.95,False
OPS-101239,2024-11-04,2024-11-13,Service Request,Midwest,Closed,9.04,True
OPS-100301,2024-11-04,2024-11-06,Service Request,Northeast,Closed,2.93,True
OPS-101510,2024-11-04,2024-11-04,Data Correction,Southeast,Closed,0.62,False
OPS-100962,2024-11-04,2024-11-04,Account Setup,West,Closed,0.91,True
OPS-101653,2024-11-04,2024-11-08,Documentation Review,Northeast,Closed,4.86,False
OPS-100206,2024-11-04,2024-11-05,Eligibility Check,Southwest,Closed,1.82,False
OPS-100678,2024-11-04,2024-11-09,Eligibility Check,Southeast,Closed,5.01,False
OPS-100340,2024-11-05,2024-11-10,Eligibility Check,Midwest,Closed,5.65,False
OPS-101367,2024-11-05,2024-11-07,Eligibility Check,Northeast,Closed,2.01,False
OPS-100763,2024-11-05,2024-11-07,Service Request,West,Closed,2.15,False
OPS-102012,2024-11-05,2024-11-08,Eligibility Check,Midwest,Closed,3.63,False
OPS-100670,2024-11-05,2024-11-09,Service Request,Southeast,Closed,4.75,False
OPS-100058,2024-11-05,2024-11-06,Account Setup,Southeast,Closed,1.86,False
OPS-101104,2024-11-05,2024-11-09,Service Request,Southwest,Closed,3.99,False
OPS-100917,2024-11-05,2024-11-06,Service Request,Northeast,Closed,1.7,False
OPS-101188,2024-11-05,,Documentation Review,Southwest,Open,,False
OPS-100049,2024-11-05,2024-11-14,Documentation Review,Midwest,Closed,9.35,False
OPS-101053,2024-11-05,2024-11-11,Eligibility Check,Southeast,Closed,6.04,False
OPS-101116,2024-11-05,2024-11-11,Dispute Resolution,Northeast,Closed,6.28,False
OPS-100309,2024-11-05,2024-11-05,Service Request,Southeast,Closed,0.87,False
OPS-100416,2024-11-06,2024-11-09,Billing Inquiry,Southwest,Closed,3.71,False
OPS-100263,2024-11-06,2024-11-11,Service Request,Southeast,Closed,5.11,False
OPS-102007,2024-11-06,2024-11-07,Account Setup,Northeast,Closed,1.84,False
OPS-100203,2024-11-06,2024-11-10,Data Correction,Midwest,Closed,4.83,False
OPS-102183,2024-11-06,2024-11-09,Eligibility Check,Southwest,Closed,3.48,False
OPS-101601,2024-11-06,2024-11-10,Billing Inquiry,Southeast,Closed,4.06,False
OPS-100544,2024-11-06,2024-11-18,Documentation Review,West,Closed,12.16,False
OPS-100230,2024-11-06,2024-11-08,Data Correction,Southeast,Closed,2.32,False
OPS-101756,2024-11-06,2024-11-10,Renewal Processing,Southwest,Closed,4.49,False
OPS-100152,2024-11-06,2024-11-14,Billing Inquiry,Southeast,Closed,8.38,True
OPS-100805,2024-11-06,2024-11-10,Dispute Resolution,Northeast,Closed,4.88,False
OPS-101150,2024-11-06,2024-11-07,Account Setup,Midwest,Closed,1.42,False
OPS-100468,2024-11-07,2024-11-11,Service Request,Southwest,Closed,4.28,False
OPS-100375,2024-11-07,2024-11-11,Service Request,West,Closed,4.62,False
OPS-100461,2024-11-07,2024-11-11,Documentation Review,Southeast,Closed,4.59,False
OPS-100127,2024-11-07,2024-11-13,Billing Inquiry,West,Closed,6.89,False
OPS-101164,2024-11-07,2024-11-07,Billing Inquiry,Southwest,Closed,0.74,False
